COG0081	Ribosomal protein L1
COG0090	Ribosomal protein L2
COG0087	Ribosomal protein L3
COG0088	Ribosomal protein L4
COG0094	Ribosomal protein L5
COG0097	Ribosomal protein L6P/L9E
COG0244	Ribosomal protein L10
COG0080	Ribosomal protein L11
COG2058	Ribosomal protein L12E/L44/L45/RPP1/RPP2
COG0102	Ribosomal protein L13
COG0093	Ribosomal protein L14
COG0200	Ribosomal protein L15
COG0256	Ribosomal protein L18
COG0091	Ribosomal protein L22
COG0089	Ribosomal protein L23
COG0198	Ribosomal protein L24
COG0255	Ribosomal protein L29
COG1841	Ribosomal protein L30/L7E
COG0052	Ribosomal protein S2
COG0092	Ribosomal protein S3
COG0522	Ribosomal protein S4 and related proteins
COG0098	Ribosomal protein S5
COG0049	Ribosomal protein S7
COG0096	Ribosomal protein S8
COG0103	Ribosomal protein S9
COG0051	Ribosomal protein S10
COG0100	Ribosomal protein S11
COG0048	Ribosomal protein S12
COG0099	Ribosomal protein S13
COG0199	Ribosomal protein S14
COG0184	Ribosomal protein S15P/S13E
COG0186	Ribosomal protein S17
COG0185	Ribosomal protein S19
COG1358	Ribosomal protein HS6-type (S12/L30/L7a)
COG0359	Ribosomal protein L9
COG0197	Ribosomal protein L16/L10E
COG0203	Ribosomal protein L17
COG0335	Ribosomal protein L19
COG0292	Ribosomal protein L20
COG0261	Ribosomal protein L21
COG1825	Ribosomal protein L25 (general stress protein Ctc)
COG0211	Ribosomal protein L27
COG0227	Ribosomal protein L28
COG0254	Ribosomal protein L31
COG0333	Ribosomal protein L32
COG0267	Ribosomal protein L33
COG0230	Ribosomal protein L34
COG0291	Ribosomal protein L35
COG0257	Ribosomal protein L36
COG0539	Ribosomal protein S1
COG0360	Ribosomal protein S6
COG0228	Ribosomal protein S16
COG0238	Ribosomal protein S18
COG0268	Ribosomal protein S20
COG0828	Ribosomal protein S21
